meal_id,cuisine,Item
1885,Thai,Thai Iced Tea
1993,Thai,Green Curry
2539,Thai,Pad Thai
1248,Indian,Masala Chai
2631,Indian,Butter Chicken
1311,Thai,Som Tam
1062,Italian,Margherita Pizza
1778,Italian,Tiramisu
1803,Thai,Sticky Rice
1198,Thai,Mango Lassi
2707,Italian,Tiramisu
1847,Thai,Tom Yum Soup
1438,Thai,Massaman Curry
2494,Thai,Papaya Salad
2760,Thai,Fish Cakes
2490,Italian,Caesar Salad
1109,Indian,Biryani
2290,Indian,Rogan Josh
1525,Thai,Spring Rolls
2704,Thai,Mango Sticky Rice
1878,Thai,Satay Chicken
2640,Thai,Pad See Ew
2577,Thai,Tom Kha Gai
1754,Italian,Panini
1971,Italian,Ravioli
2306,Italian,Spaghetti
2139,Indian,Samosa
2826,Italian,Cannoli
2664,Italian,Caprese Salad
2569,Italian,Risotto
1230,Continental,Cold Coffee
1207,Continental,Hot Chocolate
2322,Continental,Iced Tea
2492,Indian,Gulab Jamun
1216,Italian,Penne Arrabiata
1727,Indian,Pulao
1902,Indian,Chicken Biryani
1247,Indian,Masala Dosa
2304,Indian,Gajar Ka Halwa
1543,Indian,Jalebi
1770,Indian,Hyderabadi Biryani
2126,Italian,Carbonara
1558,Continental,Margherita Pizza
2581,Continental,Veggie Supreme
1962,Continental,BBQ Chicken
1571,Continental,Grilled Fish
2956,Continental,Tandoori Chicken
2104,Continental,Fish and Chips
2444,Continental,Lobster Thermidor
2867,Continental,Grilled Salmon
1445,Continental,Shrimp Scampi
